,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
14,il,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,19.6172059,0.3980567,9952.0015,state,fb-survey
15,in,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,23.1546119,0.5639835,5594.0007,state,fb-survey
16,ks,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,27.2504456,0.8305403,2873.9717,state,fb-survey
17,ky,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,22.3054263,0.6856413,3686.4413,state,fb-survey
18,la,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,22.9962254,0.7028748,3584.3684,state,fb-survey
19,ma,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,11.721279,0.4575301,4943.0125,state,fb-survey
20,md,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,13.3960802,0.5470284,3876.9971,state,fb-survey
21,me,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,12.1035058,0.769641,1796.0,state,fb-survey
22,mi,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,15.8518802,0.3701452,9736.009,state,fb-survey
23,mn,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,20.8974118,0.6012876,4572.1314,state,fb-survey
24,mo,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,30.7999267,0.6514362,5022.4139,state,fb-survey
25,ms,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,24.8224789,0.901662,2295.3327,state,fb-survey
26,mt,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,25.0653141,1.1501039,1419.9788,state,fb-survey
27,nc,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,17.6600015,0.415941,8405.0089,state,fb-survey
28,nd,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,36.0615566,1.6638873,832.8345,state,fb-survey
29,ne,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,28.6050528,1.0333314,1912.6301,state,fb-survey
30,nh,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,14.2730496,0.850639,1691.0,state,fb-survey
31,nj,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,10.1938342,0.4016773,5673.9981,state,fb-survey
32,nm,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,15.1496014,0.8495633,1780.9987,state,fb-survey
33,nv,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,17.2381467,0.8722123,1875.3241,state,fb-survey
