,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
35,oh,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,85.3007264,0.3663372,9343.0046,state,fb-survey
36,ok,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,77.0617326,0.7140406,3466.9982,state,fb-survey
37,or,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,88.3235807,0.5235086,3763.0392,state,fb-survey
38,pa,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,86.9455085,0.3176624,11248.0065,state,fb-survey
39,ri,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,94.09576,0.769197,938.9855,state,fb-survey
40,sc,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,84.024106,0.5328385,4728.0042,state,fb-survey
41,sd,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,65.807571,1.5822886,898.7407,state,fb-survey
42,tn,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,80.8056506,0.5613978,4921.2304,state,fb-survey
43,tx,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,87.278278,0.2601351,16407.95,state,fb-survey
44,ut,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,81.9621354,0.7352049,2735.1526,state,fb-survey
45,va,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,89.7441194,0.3651118,6904.4187,state,fb-survey
46,vt,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,91.1260685,0.9954834,816.0009,state,fb-survey
47,wa,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,89.9649087,0.3797014,6261.9565,state,fb-survey
48,wi,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,83.2091798,0.5037828,5504.9901,state,fb-survey
49,wv,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,83.5906545,0.815575,2062.1542,state,fb-survey
50,wy,smoothed_wearing_mask,2020-09-23,,2020-10-05,12,55.6066818,1.9891348,623.9017,state,fb-survey
0,ak,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,80.0680272,1.4745404,734.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,83.9339968,0.6502629,3189.0977,state,fb-survey
2,ar,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,84.0930554,0.7430946,2422.4717,state,fb-survey
3,az,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,86.4028319,0.4820799,5055.1999,state,fb-survey
4,ca,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,90.8897422,0.2037316,19949.3565,state,fb-survey
5,co,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,86.5490424,0.5020468,4618.7774,state,fb-survey
6,ct,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,93.084351,0.4276451,3520.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,97.4669604,0.7382452,453.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,92.7850656,0.8223139,990.0,state,fb-survey
9,fl,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,85.7337509,0.2851246,15044.9983,state,fb-survey
10,ga,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,82.3290905,0.5027022,5756.9266,state,fb-survey
11,hi,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,93.4584178,0.78783,985.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,77.3185357,0.7253159,3333.499,state,fb-survey
13,id,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,72.3897467,1.0719581,1739.3694,state,fb-survey
14,il,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,87.3271855,0.3444058,9330.0006,state,fb-survey
15,in,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,82.3050436,0.5283064,5218.0007,state,fb-survey
16,ks,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,82.1299825,0.7389183,2688.0287,state,fb-survey
17,ky,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,85.6038892,0.6006569,3415.7478,state,fb-survey
18,la,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,81.8661328,0.6741627,3266.3687,state,fb-survey
19,ma,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,92.9355949,0.3724038,4734.013,state,fb-survey
20,md,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,93.0852449,0.417427,3693.9971,state,fb-survey
21,me,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,87.5443787,0.8034928,1689.0,state,fb-survey
22,mi,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,86.3767537,0.3611095,9024.0097,state,fb-survey
23,mn,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,87.831365,0.4979071,4311.1673,state,fb-survey
24,mo,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,80.0669901,0.5866448,4637.4144,state,fb-survey
25,ms,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,83.4492525,0.8215204,2046.4604,state,fb-survey
26,mt,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,75.1452302,1.1958806,1305.9769,state,fb-survey
27,nc,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,85.6876722,0.3968778,7786.0093,state,fb-survey
28,nd,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,68.2308235,1.6737295,773.7774,state,fb-survey
29,ne,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,79.9609065,0.9520987,1767.6319,state,fb-survey
30,nh,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,88.1072555,0.8133347,1584.0,state,fb-survey
31,nj,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,91.0223277,0.3883617,5417.9982,state,fb-survey
32,nm,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,88.3170739,0.7853535,1672.8846,state,fb-survey
33,nv,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,87.6796404,0.7789433,1780.3709,state,fb-survey
34,ny,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,92.357887,0.248649,11416.0008,state,fb-survey
35,oh,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,85.2445759,0.3685561,9260.0059,state,fb-survey
36,ok,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,76.8952782,0.7170944,3454.9979,state,fb-survey
37,or,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,88.3431185,0.5250851,3735.0438,state,fb-survey
38,pa,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,87.0794174,0.319021,11055.0069,state,fb-survey
39,ri,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,93.8829473,0.7820503,938.987,state,fb-survey
40,sc,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,83.8216106,0.5425457,4607.0038,state,fb-survey
41,sd,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,65.9224904,1.5587889,924.5424,state,fb-survey
42,tn,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,80.2198049,0.5697444,4888.2354,state,fb-survey
43,tx,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,87.2636344,0.2620497,16184.951,state,fb-survey
44,ut,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,82.9661848,0.7199941,2726.1841,state,fb-survey
45,va,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,89.4093879,0.3741216,6765.1698,state,fb-survey
46,vt,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,91.5307384,0.9868462,796.001,state,fb-survey
47,wa,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,89.7499664,0.3828295,6276.9521,state,fb-survey
48,wi,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,83.0950603,0.5074084,5455.9896,state,fb-survey
49,wv,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,83.6410358,0.8281316,1995.1545,state,fb-survey
50,wy,smoothed_wearing_mask,2020-09-24,,2020-10-05,11,55.74634,2.014283,608.0294,state,fb-survey
0,ak,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,79.46794,1.4929893,732.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,83.4008735,0.6576257,3201.0926,state,fb-survey
2,ar,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,83.8069101,0.7583168,2359.9793,state,fb-survey
3,az,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,86.1515381,0.4870973,5028.4394,state,fb-survey
4,ca,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,90.7205462,0.2078389,19488.327,state,fb-survey
5,co,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,86.5802689,0.5033962,4585.0375,state,fb-survey
6,ct,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,93.3091437,0.4257664,3444.0,state,fb-survey
